permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,first_funding_year,last_funding_year
/organization/uber,Uber,http://www.uber.com,Automotive|Design|Limousines|Public Transportation|Real Time|Transportation,8207450000,operating,USA,CA,SF Bay Area,San Francisco,13,2009-03-01,2009-03,2009-Q1,2009,2009-08-01,2015-09-07,2009,2015
/organization/facebook,Facebook,http://www.facebook.com,All Students|Colleges|Communities|Identity|Social Media,2425700000,ipo,USA,CA,SF Bay Area,Menlo Park,11,2004-02-04,2004-02,2004-Q1,2004,2004-09-01,2011-01-21,2004,2011
/organization/airbnb,Airbnb,http://airbnb.com,Hotels|Travel,2394820000,operating,USA,CA,SF Bay Area,San Francisco,8,2008-08-01,2008-08,2008-Q3,2008,2009-01-01,2015-11-20,2009,2015
/organization/social-finance,SoFi,http://www.sofi.com,Education|Finance|Financial Services|Peer-to-Peer,1766199900,operating,USA,CA,SF Bay Area,San Francisco,11,2011-04-01,2011-04,2011-Q2,2011,2011-09-19,2015-09-30,2011,2015
/organization/netflix,Netflix,http://www.netflix.com,Consumer Electronics|Entertainment|Games|Video,1730000000,ipo,USA,CA,SF Bay Area,Los Gatos,3,1997-01-01,1997-01,1997-Q1,1997,1999-07-07,2015-02-02,1999,2015
/organization/palantir-technologies,Palantir Technologies,http://www.palantir.com,Analytics,1671557162,operating,USA,CA,SF Bay Area,Palo Alto,16,2004-01-01,2004-01,2004-Q1,2004,2005-09-01,2015-10-21,2005,2015
/organization/solyndra,Solyndra,http://www.solyndra.com,Manufacturing,1567504319,closed,USA,CA,SF Bay Area,Fremont,8,2005-01-01,2005-01,2005-Q1,2005,2006-01-01,2011-06-16,2006,2011
/organization/fisker,Fisker Automotive,http://www.fiskerautomotive.com,Automotive|Clean Technology,1471000000,acquired,USA,CA,Anaheim,Irvine,9,2008-01-01,2008-01,2008-Q1,2008,2008-01-14,2012-04-02,2008,2012
/organization/pinterest,Pinterest,https://pinterest.com,Curated Web|Social Bookmarking|Social Media,1315500000,operating,USA,CA,SF Bay Area,San Francisco,10,2009-01-01,2009-01,2009-Q1,2009,2010-01-01,2015-06-01,2010,2015
/organization/space-exploration-technologies,Space Exploration Technologies,http://www.spacex.com,Aerospace|Space Travel,1245460000,operating,USA,CA,Los Angeles,Hawthorne,7,2002-01-01,2002-01,2002-Q1,2002,2006-03-01,2015-01-20,2006,2015
/organization/snapchat,Snapchat,http://www.snapchat.com,File Sharing|Messaging|Mobile|Photography,1185585000,operating,USA,CA,CA - Other,Pacific Palisades,8,2011-05-01,2011-05,2011-Q2,2011,2012-05-01,2015-05-29,2012,2015
/organization/twitter,Twitter,http://www.twitter.com/,Information Services|Messaging|MicroBlogging|Service Providers|SMS|Software,1160166511,ipo,USA,CA,SF Bay Area,San Francisco,8,2006-03-21,2006-03,2006-Q1,2006,2007-07-01,2011-09-08,2007,2011
/organization/solarcity,SolarCity,http://www.solarcity.com,Clean Technology|Construction,1158040000,ipo,USA,CA,SF Bay Area,San Mateo,14,2006-01-01,2006-01,2006-Q1,2006,2006-09-15,2015-11-18,2006,2015
/organization/surveymonkey,SurveyMonkey,http://www.surveymonkey.com,Software|Surveys,1150000000,operating,USA,CA,SF Bay Area,Palo Alto,5,1999-01-01,1999-01,1999-Q1,1999,2009-04-20,2014-12-15,2009,2014
/organization/bloom-energy,Bloom Energy,http://www.bloomenergy.com,Clean Technology,1110000000,operating,USA,CA,SF Bay Area,Sunnyvale,6,2001-01-01,2001-01,2001-Q1,2001,2008-01-01,2015-01-27,2008,2015
/organization/dropbox,Dropbox,http://www.dropbox.com,Cloud Data Services|Storage|Web Hosting,1107215000,operating,USA,CA,SF Bay Area,San Francisco,6,2007-06-01,2007-06,2007-Q2,2007,2007-06-01,2014-04-06,2007,2014
/organization/cloudera,Cloudera,http://www.cloudera.com,Analytics|Big Data|Enterprise Software|Search|Software,1041000000,operating,USA,CA,SF Bay Area,Palo Alto,8,2008-10-13,2008-10,2008-Q4,2008,2009-03-16,2014-09-01,2009,2014
/organization/lyft,Lyft,http://lyft.com,Apps|Collaborative Consumption|College Campuses|Peer-to-Peer|Software|Transportation,1012500000,operating,USA,CA,SF Bay Area,San Francisco,8,2012-01-01,2012-01,2012-Q1,2012,2009-06-01,2015-05-15,2009,2015
/organization/legendary-entertainment,Legendary Entertainment,http://www.legendary.com,Entertainment|Film Production|Games,1008000000,operating,USA,CA,Los Angeles,Burbank,4,2004-01-01,2004-01,2004-Q1,2004,2011-04-06,2014-10-03,2011,2014
/organization/better-place,Better Place,http://www.betterplace.com,Clean Technology,925000000,acquired,USA,CA,SF Bay Area,Palo Alto,6,2007-10-29,2007-10,2007-Q4,2007,2007-11-01,2012-11-02,2007,2012
/organization/depomed,DepoMed,http://www.depomed.com/,Pharmaceuticals,875000000,ipo,USA,CA,SF Bay Area,Newark,2,1995-01-01,1995-01,1995-Q1,1995,2014-09-04,2015-03-13,2014,2015
/organization/zynga,Zynga,http://www.zynga.com,Facebook Applications|Games|Networking|Technology,866550786,ipo,USA,CA,SF Bay Area,San Francisco,9,2007-07-01,2007-07,2007-Q3,2007,2007-01-01,2011-02-18,2007,2011
/organization/intarcia-therapeutics,Intarcia Therapeutics,http://www.intarcia.com,Biotechnology,852305937,operating,USA,CA,SF Bay Area,Hayward,11,1997-01-01,1997-01,1997-Q1,1997,2003-01-01,2015-04-27,2003,2015
