source,target
Bayer,Valero Energy
Ingram Micro,Lotte Shopping
Intesa Sanpaolo,Michelin
China Construction Bank,China Minsheng Banking
Xinxing Cathay International,Schlumberger
BMW Group,UnitedHealth Group
Enel,Alfresa Holdings
Intel,Phoenix Pharmahandel
Poste Italiane,Cathay Life Insurance
Sysco,Shanghai Pudong Development Bank
Procter & Gamble,Toronto-Dominion Bank
Phillips 66,Sinopharm
Evergrande Real Estate Group,Sumitomo Mitsui Financial Group
Lowe's,Johnson Controls
Royal Bank of Scotland,Arrow Electronics
China Post Group,Korea Electric Power
Shougang Group,Shanxi LuAn Mining Group
US Foods Holding,HSBC Holdings
Chevron,Huawei Technologies
Banco Bradesco,Jizhong Energy Group
Aisin Seiki,Volkswagen
Phoenix Pharmahandel,Nippon Steel & Sumitomo Metal
Idemitsu Kosan,Deere
COFCO,CNP Assurances
Mitsubishi,China FAW Group
Royal Philips,Wesfarmers
Dai-ichi Life Insurance,China Pacific Insurance (Group)
Chubu Electric Power,Old Mutual
Agricultural Bank of China,Hindustan Petroleum
SSE,China Shipbuilding Industry
American International Group,Japan Post Holdings
Jiangsu Shagang Group,Engie
CRRC,Coca-Cola
China Electronics,U.S. Bancorp
World Fuel Services,Enterprise Products Partners
Prudential,Amazon.com
Sompo Japan Nipponkoa Holdings,Target
Old Mutual,Shanxi LuAn Mining Group
JX Holdings,Wesfarmers
Jiangxi Copper,Alphabet
CVS,China Merchants Bank
Fujitsu,Dow Chemical
Emirates Group,Maersk Group
China Datang,Enel
Zurich Insurance Group,Sinomach
Best Buy,State Farm Insurance Cos.
United Continental Holdings,ConocoPhillips
Huawei Technologies,China Communications Construction
Rosneft Oil,Centrica
Denso,Agricultural Bank of China
Cardinal Health,Wilmar International
Aisin Seiki,Toyota Motor
Bayer,China National Offshore Oil
Swiss Life,Danone
Verizon Communications,Johnson Controls
AmerisourceBergen,Onex
Pemex,Anheuser-Busch InBev
Roche Group,China Mobile Communications
HNA Group,BP
La Poste,Aegon
Louis Dreyfus,ENI
Staples,AEON
Crédit Agricole,Honda Motor
Exelon,Nippon Life Insurance
Hitachi,Enterprise Products Partners
New China Life Insurance,Dow Chemical
Lowe's,Itaú Unibanco Holding
Glencore,Suncor Energy
Community Health Systems,Best Buy
Phillips 66,General Motors
New York Life Insurance,Industrial Bank
Lukoil,Swiss Life
Exxon Mobil,Procter & Gamble
OMV Group,Iberdrola
Achmea,Nippon Life Insurance
Lukoil,Barclays
CRRC,Qualcomm
Nippon Steel & Sumitomo Metal,Gilead Sciences
Zurich Insurance Group,Mitsubishi Heavy Industries
General Motors,United Continental Holdings
Australia & New Zealand Banking Group,BP
Fresenius,Inditex
Walgreens Boots Alliance,Hanwha
Veolia Environnement,AstraZeneca
Air France-KLM Group,Kansai Electric Power
Bayer,Standard Chartered
TUI,Mitsubishi Chemical Holdings
Denso,Citigroup
Wm. Morrison Supermarkets,Gilead Sciences
Pfizer,Chubu Electric Power
China Minmetals,Wells Fargo
Shougang Group,Nippon Life Insurance
Caterpillar,Panasonic
Cigna,Auchan Holding 
Compal Electronics,OMV Group
World Fuel Services,UnitedHealth Group
China Nonferrous Metal Mining (Group),Aviva
Mitsubishi Electric,General Dynamics
Centrica,Tesco
China National Offshore Oil,Zurich Insurance Group
Sumitomo,China Shipbuilding Industry
China Railway Construction,China South Industries Group
Intel,China COSCO Shipping
Apple,International Airlines Group
PKN ORLEN Group,Duke Energy
Mitsubishi Electric,Siemens
Sompo Japan Nipponkoa Holdings,Procter & Gamble
LyondellBasell Industries,Idemitsu Kosan
Marubeni,Hindustan Petroleum
Koç Holding,Jardine Matheson
Northwestern Mutual,Volvo
China National Petroleum,China Nonferrous Metal Mining (Group)
Ping An Insurance,Lowe's
Enel,China Mobile Communications
Delta Air Lines,United Continental Holdings
La Poste,Airbus Group
China Huaneng Group,China National Building Materials Group
Goldman Sachs Group,Goldman Sachs Group
Microsoft,HCA
Honda Motor,CEFC China Energy
Seven & I Holdings,Jiangxi Copper
Royal Ahold,United Services Automobile Assn.
SABIC,Apple
Shanxi LuAn Mining Group,Exxon Mobil
HCA,Midea Group
China North Industries Group,Magna International
Avnet,SAIC Motor
SAIC Motor,Meiji Yasuda Life Insurance
ENI,Rolls-Royce Holdings
Anthem,SABIC
Enbridge,Prudential
China Construction Bank,Fresenius
People's Insurance Co. of China,Finatis
Taiwan Semiconductor Manufacturing,Sumitomo
Lukoil,DZ Bank
Duke Energy,Wilmar International
Bayer,Veolia Environnement
Rio Tinto Group,Aegon
Tesco,Koç Holding
Gilead Sciences,Total
Humana,CITIC Group
U.S. Postal Service,Mizuho Financial Group
Centrica,Vodafone
Bank of Nova Scotia,Banco Santander
Lufthansa Group,Schneider Electric
BNP Paribas,Sberbank
Chubu Electric Power,Achmea
Standard Chartered,Sodexo
Anheuser-Busch InBev,Shanxi Coking Coal Group
Midea Group,State Grid
