name,primarySegment,allSegments,country,SIC,latitude,longitude
JOEL,Mining,Mining;Mining;Mining,Israel,1311,32.0877639,34.8859985
Isramco Negev,Mining,Mining,Israel,1311,30.8760272,35.0015196
Delek Oil Exploration Ltd,Mining,Mining,Israel,1311,30.8760272,35.0015196
Oil Exploration of Paz Ltd,Mining,Mining,Israel,1311,30.8760272,35.0015196
Naphtha Israel Petroleum Oil,Mining,Mining,Israel,1311,31.7968155,35.2137815559015
Delek Fuel Corp,Mining,Mining;Mining;Mining,Israel,1311,30.8760272,35.0015196
Conoco Timon-Pechora Ltd,Mining,Manufacturing;Mining,Russian Fed,1311,64.6863136,97.7453061
Arkhangelskgeologia(Russia),Mining,Mining,Russian Fed,1311,64.6863136,97.7453061
Wintershall Holding GmbH,Mining,"Mining;Mining;Mining;Transportation, Communications, Electric, Gas, And Sanitary Services",Germany,1311,51.3090209,9.4762981
Zarubezhnegtegaz,Mining,Mining;Mining;Mining,Russian Fed,1311,55.7516335,37.6187042
British Petroleum Co PLC,Mining,"Manufacturing;Mining;Mining;Mining;Wholesale Trade;Manufacturing;Transportation, Communications, Electric, Gas, And Sanitary Services;Manufacturing;Manufacturing;Mining;Finance, Insurance, And Real Estate;Manufacturing;Mining",United Kingdom,1382,51.5073219,-0.1276473
PETRONAS,Mining,Mining;Mining;Mining,Malaysia,1311,3.1387103,101.682099528432
OMV AG,Mining,Mining;Mining;Mining,Austria,1311,48.2083537,16.3725042
Slovnaft as,Mining,Manufacturing;Mining,Czech Republic,1311,49.1686623,16.6231418
Monfrini(Montecatini),Manufacturing,Manufacturing,Italy,2819,42.6384261,12.674297
UCAR Carbon Italia,Manufacturing,Manufacturing,Italy,2819,42.6384261,12.674297
Austrian Danube Steamship Co,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services",Austria,4412,47.2000338,13.199959
Ceskoslovenska Plavba Dunajska,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services",Slovakia,4412,48.1359085,17.1597440625
Turkiye Petrolleri AO,Mining,Mining;Mining;Mining,Turkey,1311,39.9220794,32.853758
Ansaldo SpA(FINEMECCANICA/IRI),Services,Services,Italy,8711,44.40726,8.9338624
Gazprom,Mining,"Manufacturing;Mining;Mining;Mining;Finance, Insurance, And Real Estate",Russian Fed,1311,55.7516335,37.6187042
Orava Niznansd SP,Services,Services,Slovakia,8711,48.7411522,19.4528646
Herwig Kruezhuber,Services,Services,Austria,8711,47.2000338,13.199959
Administratia Porturilor,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services",Romania,4412,44.1724166,28.6208196629799
