source,target,licensing,exlicensing,manufacturing,oem,marketing,rnd,strategic,supply,techtrans,cballiance,jv
JOEL,Isramco Negev,0,0,0,0,0,0,0,0,0,0,1
JOEL,Delek Oil Exploration Ltd,0,0,0,0,0,0,0,0,0,0,1
JOEL,Oil Exploration of Paz Ltd,0,0,0,0,0,0,0,0,0,0,1
JOEL,Naphtha Israel Petroleum Oil,0,0,0,0,0,0,0,0,0,0,1
JOEL,Delek Fuel Corp,0,0,0,0,0,0,0,0,0,0,1
Isramco Negev,Delek Oil Exploration Ltd,0,0,0,0,0,0,0,0,0,0,1
Isramco Negev,Oil Exploration of Paz Ltd,0,0,0,0,0,0,0,0,0,0,1
Isramco Negev,Naphtha Israel Petroleum Oil,0,0,0,0,0,0,0,0,0,0,1
Isramco Negev,Delek Fuel Corp,0,0,0,0,0,0,0,0,0,0,1
Delek Oil Exploration Ltd,Oil Exploration of Paz Ltd,0,0,0,0,0,0,0,0,0,0,1
Delek Oil Exploration Ltd,Naphtha Israel Petroleum Oil,0,0,0,0,0,0,0,0,0,0,1
Delek Oil Exploration Ltd,Delek Fuel Corp,0,0,0,0,0,0,0,0,0,0,1
Oil Exploration of Paz Ltd,Naphtha Israel Petroleum Oil,0,0,0,0,0,0,0,0,0,0,1
Oil Exploration of Paz Ltd,Delek Fuel Corp,0,0,0,0,0,0,0,0,0,0,1
Naphtha Israel Petroleum Oil,Delek Fuel Corp,0,0,0,0,0,0,0,0,0,0,1
Conoco Timon-Pechora Ltd,Arkhangelskgeologia(Russia),0,0,0,0,0,0,0,0,0,1,1
Wintershall Holding GmbH,Zarubezhnegtegaz,0,0,1,0,0,0,0,1,0,0,1
Wintershall Holding GmbH,Zarubezhnegtegaz,0,0,0,0,1,0,0,0,0,0,1
British Petroleum Co PLC,PETRONAS,0,0,0,0,0,0,0,0,0,0,1
OMV AG,Slovnaft as,0,0,1,0,0,0,0,0,0,0,1
Monfrini(Montecatini),UCAR Carbon Italia,0,0,1,0,0,0,0,0,0,0,1
Austrian Danube Steamship Co,Ceskoslovenska Plavba Dunajska,0,0,0,0,1,0,0,0,0,0,1
British Petroleum Co PLC,Turkiye Petrolleri AO,0,0,0,0,0,0,0,0,0,0,1
Ansaldo SpA(FINEMECCANICA/IRI),Gazprom,0,0,0,0,0,0,0,0,0,0,1
Orava Niznansd SP,Herwig Kruezhuber,0,0,0,0,0,0,0,0,0,0,1
Administratia Porturilor,Plan und Bau,0,0,0,0,0,0,0,0,0,0,1
Gazprom,OMV AG,0,0,0,0,1,0,0,0,0,0,1
Lukoil,Rosneft,0,0,0,0,1,0,0,0,0,0,1
Lukoil,Agip SpA(ENI/Italy),0,0,0,0,0,0,1,0,0,0,0
Rosneft,Agip SpA(ENI/Italy),0,0,0,0,0,0,1,0,0,0,0
CHZ Novaky(Czechoslovakia),Slovnaft as,0,0,0,0,0,0,1,0,0,0,0
CHZ Novaky(Czechoslovakia),Enichem Augusta SpA(Enichem),0,0,1,0,0,0,0,0,0,0,1
Slovnaft as,Enichem Augusta SpA(Enichem),0,0,1,0,0,0,0,0,0,0,1
Texaco Exploration North Egypt,Phillips Petroleum Co North,0,0,1,0,0,0,0,0,0,0,1
Texaco Exploration North Egypt,KM Egypt Inc(Kerr-McGee Corp),0,0,0,0,0,0,0,0,0,0,1
Phillips Petroleum Co North,KM Egypt Inc(Kerr-McGee Corp),0,0,0,0,0,0,0,0,0,0,1
Paz Oil Exploration Ltd,JOEL,0,0,0,0,0,0,0,0,0,0,1
Kyivenerho,Krimenerho,0,0,0,0,0,0,1,0,0,0,0
Enisud,Nuovo Pignone,0,0,1,0,0,0,0,0,0,1,1
Agip SpA(ENI/Italy),Lukoil,0,0,0,0,0,0,1,0,0,0,0
OAO Komineft,Uninsk NGDU(Russia),0,0,0,0,0,0,0,0,0,0,1
OMV AG,Slovnaft as,0,0,1,0,0,0,0,0,0,1,1
Lukoil,Rosneft,0,0,1,0,0,0,0,0,0,1,1
Lukoil,Kazakhstan Pipeline Ventures,0,0,0,0,0,0,0,0,0,1,1
Rosneft,Kazakhstan Pipeline Ventures,0,0,0,0,0,0,0,0,0,1,1
Zaliv Shipyard(Ukraine),Fram Shipping Ltd,0,0,0,0,0,0,0,0,0,1,1
Turkiye Petrolleri AO,Kazakhstan National Petroleum,0,0,0,0,1,0,0,0,0,0,1
Agip SpA(ENI/Italy),Societa Rete Gas Italia,0,0,0,0,1,0,0,0,0,1,1
Lukoil,RITEK,0,0,0,0,0,0,1,0,0,0,0
Lukoil,Rosneft,0,0,0,0,1,0,0,0,0,0,1
RITEK,Rosneft,0,0,1,0,0,1,0,0,0,0,1
British Petroleum Co PLC,Baltic Shipping Line,0,0,1,0,0,1,0,0,0,0,1
British Petroleum Co PLC,Baltic Navagation Co,0,0,1,0,0,1,0,0,0,0,1
British Petroleum Co PLC,Perm Nefteorgsintec Assn,0,0,1,0,1,0,0,0,0,0,1
British Petroleum Co PLC,St Petersburg Neftenalivnoy,0,0,1,0,1,0,0,0,0,0,1
Baltic Shipping Line,Baltic Navagation Co,0,0,1,0,1,0,0,0,0,0,1
Baltic Shipping Line,Perm Nefteorgsintec Assn,0,0,1,0,1,0,0,0,0,0,1
Baltic Shipping Line,St Petersburg Neftenalivnoy,0,0,1,0,1,0,0,0,0,0,1
Baltic Navagation Co,Perm Nefteorgsintec Assn,0,0,1,0,1,0,0,0,0,0,1
Baltic Navagation Co,St Petersburg Neftenalivnoy,0,0,1,0,1,0,0,0,0,0,1
Perm Nefteorgsintec Assn,St Petersburg Neftenalivnoy,0,0,1,0,1,0,0,0,0,0,1
Kepez Elektrik TAS,Rumeli Elektrik Yatirim AS,0,0,1,0,1,0,0,0,0,0,1
Atilla Dogan,SOCAR,0,0,1,0,1,0,0,0,0,0,1
Ente Nazionale Idrocarburi,Egyptian Gen Petro Corp,0,0,0,0,0,0,1,0,0,0,0
Egyptian Electricity Authority,Electric Power Systems(Egypt),0,0,0,0,0,0,0,0,0,0,1
Egyptian Electricity Authority,Nuclear Power Plants Authority,0,0,0,0,0,0,0,0,0,0,1
Electric Power Systems(Egypt),Nuclear Power Plants Authority,0,0,0,0,0,0,0,0,0,0,1
NK KazMunaiGaz,Litwin/ACP,0,0,0,0,0,0,0,0,0,0,1
Sol SpA,Energetika e Plinstal,0,0,0,0,0,0,0,0,0,0,1
OAO Tyumenneftegeofizika,Ukrneft,0,0,0,0,1,0,0,0,0,0,1
Gazprom,Wintershall Holding GmbH,0,0,0,0,1,0,0,0,0,0,1
Petromin SA,Forum Maritime SA,0,0,0,0,0,0,0,0,0,1,1
Azerbaijan International Oil,Fugro Maklina,0,0,0,0,0,0,0,0,0,0,1
KELAG Kaerntner Elektrizitaets,Verbund AG,0,0,0,0,0,0,1,0,0,1,0
Tiszamenti Vegyi Muvek,Vinylchloride Concern,0,0,0,0,0,0,0,0,0,1,1
Permneft,SOCO Perm Russia(Perm Russia),0,0,0,0,0,0,1,0,0,0,0
Rosshel'f,Gazprom,0,0,1,0,1,0,0,0,0,0,1
PETRONAS,British Petroleum Co PLC,0,0,0,0,0,0,0,0,0,0,1
British Petroleum Co PLC,PETRONAS,0,0,0,0,0,1,0,0,0,0,1
Yukosneftegaz,Eser,0,0,1,0,0,0,0,0,0,0,1
Ansaldo SpA(FINEMECCANICA/IRI),Rao-Ees,0,0,1,0,0,0,0,0,0,0,1
Yukosneftegaz,Surgutneftegaz,0,0,0,0,0,0,0,0,0,1,1
Yukosneftegaz,Lukoil,0,0,0,0,1,0,0,0,0,0,1
Surgutneftegaz,Lukoil,0,0,1,0,1,0,0,0,0,0,1
Upetrom SA(Romania),KHK Poisk,0,0,1,0,0,0,0,0,0,0,1
Hallwood Caspian Petroleum LLC,Azerbaijan International Oil,0,0,1,0,0,0,0,0,0,0,1
